OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
63,63,1,62,0,11235139.75,20207.4931,210,8,18,1,3,4,4-Apr,4004,4,4,20207.492,165,PRIVATE,04-04 Parkside Clubhouse North,177,1284922.908,496258.5233,4-Apr,Parkside Clubhouse North, 10522 Montrose Ave Bethesda MD 20814,-77.09648963,39.02926999,BETHESDA MD 20814,10522 MONTROSE AVE,-77.09648963,20207.492,11235139.64,39.02926999
64,64,1,63,0,154139393.1,65755.85768,209,8,16,1,3,10,2-Oct,10002,10,2,65755.85774,228,PRIVATE,10-02 Potomac Presbyterian Ch,219,1252030.81,493258.7598,2-Oct,Potomac Presbyterian CH, 10301 River Rd Potomac MD 20854,-77.21225089,39.02088088,POTOMAC MD 20854,10301 RIVER RD,-77.21225089,65755.85774,154139393.6,39.02088088
65,65,1,64,0,31975355.34,27236.95979,208,6,15,1,3,10,4-Oct,10004,10,4,27236.96001,53,MIDDLE SCHOOLS,10-04 Cabin John MS,116,1263467.625,497130.8125,4-Oct,Cabin John MS, 10701 Gainsborough Rd Potomac MD 20854,-77.17202174,39.03157838,Potomac MD 20854,10701 Gainsborough Rd,-77.17202174,27236.96001,31975355.29,39.03157838
66,66,1,65,0,47948554.3,33066.6374,207,3,20,5,5,5,3-May,5003,5,3,33066.63839,129,MIDDLE SCHOOLS,05-03 Francis Scott Key MS,37,1314545.875,495641.9687,3-May,Francis Scott Key MS, 910 Schindler Dr Silver Spring MD 20903,-76.99221164,39.02761664,Silver Spring MD 20903,910 Schindler Dr,-76.99221164,33066.63839,47948554.4,39.02761664
67,67,1,66,0,9743065.52,13867.52737,206,8,20,5,4,13,13-42,13042,13,42,13867.52738,203,PRIVATE,13-42 The Arc Montgomery Karasik Ctr,148,1304847.08,496771.003,13-42,The Arc Montgomery Karasik Center, 10611 Tenbrook Dr Silver Spring MD 20901,-77.02635349,39.03071391,Silver Spring MD 20901,10611 Tenbrook Dr,-77.02635349,13867.52738,9743065.555,39.03071391
68,68,1,67,0,19074591.35,21572.44781,205,8,18,1,3,13,13-34,13034,13,34,21572.44753,201,PRIVATE,13-34 Kensington Town Hall,232,1291022.312,494998.9152,13-34,Kensington Town Hall, 3710 Mitchell St Kensington MD 20895,-77.075015,39.02582724,KENSINGTON MD 20895,3710 MITCHELL ST,-77.075015,21572.44753,19074591.36,39.02582724
69,69,1,68,0,21770390.04,21804.59134,204,6,15,1,3,10,11-Oct,10011,10,11,21804.5913,196,PRIVATE,10-11 Pauline Betz Addie Tennis Ctr,221,1267125.008,494548.8149,11-Oct,Pauline Betz Addie Tennis Center, 7801 Democracy Blvd Bethesda MD 20817,-77.15913085,39.02450726,BETHESDA MD 20817,7801 DEMOCRACY BLVD,-77.15913085,21804.5913,21770390.2,39.02450726
70,70,1,69,0,1260299.369,5333.35241,203,8,19,4,4,13,13-57,13057,13,57,5333.352463,211,PRIVATE,13-57 Arcola Towers,269,1303625.301,499722.1507,13-57,Arcola Towers, 1135 University Blvd W Silver Spring MD 20902,-77.03065795,39.03881576, Silver Spring MD 20902,1135 UNIVERSITY BLVD W,-77.03065795,5333.352463,1260299.393,39.03881576
71,71,1,70,0,21218958.23,20029.39766,202,8,19,5,4,13,13-11,13011,13,11,20029.39725,116,ELEMENTARY SCHOOLS,13-11 Forest Knolls ES,131,1306533,497716.2499,13-11,Forest Knolls ES, 10830 Eastwood Ave Silver Spring MD 20901,-77.02041937,39.03331044,Silver Spring MD 20901,10830 Eastwood Ave,-77.02041937,20029.39725,21218958.18,39.03331044
72,73,1,72,0,13589660.08,16606.65352,200,8,18,4,4,13,13-59,13059,13,59,16606.65338,212,PRIVATE,13-59 Stephen Knolls School,261,1297806.976,497914.8578,13-59,Stephen Knolls School, 10731 St Margarets Way Kensington MD 20895,-77.05113867,39.03384636,Kensington MD 20895,10731 ST MARGARETS WAY,-77.05113867,16606.65338,13589660.17,39.03384636
73,94,1,93,0,15450213.66,20333.25598,179,8,18,4,4,13,13-30,13030,13,30,20333.25604,4,PRIVATE,13-30 Holiday Park Snr Ctr,259,1290266.17,504143.4099,13-30,Holiday Park Senior Center, 3950 Ferrara Dr Wheaton MD 20906,-77.07770402,39.05093332,SILVER SPRING MD 20906,3950 FERRARA DR,-77.07770402,20333.25604,15450213.51,39.05093332
74,95,1,94,0,4868172.544,15406.53117,178,3,14,5,5,5,4-May,5004,5,4,15406.53093,171,PRIVATE,05-04 Riderwood Village,191,1326244.481,503166.9148,4-May,RIDERWOOD VILLAGE, 3120 Gracefield Rd Silver Spring MD 20904,-76.95101719,39.04826773,SILVER SPRING MD 20904,3120 GRACEFIELD RD,-76.95101719,15406.53093,4868172.735,39.04826773
75,101,1,100,0,38727049.93,28831.55829,172,6,15,1,3,10,6-Oct,10006,10,6,28831.55815,224,ELEMENTARY SCHOOLS,10-06 Wayside ES,113,1253745.03,502969.7799,6-Oct,Wayside ES, 10011 Glen Rd Potomac MD 20854,-77.20629449,39.04755495,Potomac MD 20854,10011 Glen Rd,-77.20629449,28831.55815,38727050.01,39.04755495
76,103,1,102,0,42823277.82,33748.53821,170,3,20,5,5,5,6-May,5006,5,6,33748.5384,134,MIDDLE SCHOOLS,05-06 White Oak MS,41,1313681.194,506105.1702,6-May,White Oak MS, 12201 New Hampshire Ave Silver Spring MD 20904,-76.99525348,39.05634536,Silver Spring MD 20904,12201 New Hampshire Ave,-76.99525348,33748.5384,42823277.52,39.05634536
77,104,1,103,0,33960632.4,28521.94602,169,8,19,4,4,13,13-63,13063,13,63,28521.94532,128,ELEMENTARY SCHOOLS,13-63 Glenallan ES,167,1300590.361,507884.1702,13-63,Glenallan ES, 12520 Heurich Rd Silver Spring MD 20902,-77.04135593,39.06122269,Silver Spring MD 20902,12520 Heurich Rd,-77.04135593,28521.94532,33960632.35,39.06122269
78,105,1,104,0,28428112.5,33748.59344,168,8,19,4,4,13,13-20,13020,13,20,33748.59163,123,MIDDLE SCHOOLS,13-20 Col E Brooke Lee MS,134,1303614.625,503650.9062,13-20,Col E Brooke Lee MS, 11800 Monticello Ave Silver Spring MD 20902,-77.03070019,39.04960283,Silver Spring MD 20902,11800 Monticello Ave,-77.03070019,33748.59163,28428112.65,39.04960283
79,106,1,105,0,13119206.52,17743.12243,167,8,18,4,4,13,13-28,13028,13,28,17743.12298,143,HIGH SCHOOLS,13-28 Wheaton HS,228,1293472.195,508156.0694,13-28,Wheaton HS, 12401 Dalewood Dr Silver Spring MD 20906,-77.06642509,39.06195769,SILVER SPRING MD 20906,12401 DALEWOOD DR,-77.06642509,17743.12298,13119206.54,39.06195769
80,97,1,96,0,60498540.38,38711.28816,176,3,20,5,5,5,13-May,5013,5,13,38711.28866,172,PRIVATE,05-13 White Oak Comm Rec Ctr,193,1319398.897,502313.3823,13-May,White Oak Community Rec Center, 1700 April Ln Silver Spring MD 20904,-76.97512213,39.04593181,SILVER SPRING MD 20904,1700 APRIL LN,-76.97512213,38711.28866,60498540.09,39.04593181
81,79,1,78,0,25205813.36,25695.30839,194,6,15,1,3,10,13-Oct,10013,10,13,25695.30788,197,PRIVATE,10-13 Potomac Comm Ctr,117,1258037,500588.0007,13-Oct,Potomac Community Center, 11315 Falls Rd Potomac MD 20854,-77.19116458,39.04104103,Potomac MD 20854,11315 Falls Rd,-77.19116458,25695.30788,25205813.41,39.04104103
82,80,1,79,0,24837149.91,22354.23889,193,6,15,1,3,10,5-Oct,10005,10,5,22354.23932,52,MIDDLE SCHOOLS,10-05 Herbert Hoover MS,115,1261597.75,501971.25,5-Oct,Herbert Hoover MS, 8810 Postoak Rd Potomac MD 20854,-77.17863758,39.04485878,Potomac MD 20854,8810 Post Oak Rd,-77.17863758,22354.23932,24837150,39.04485878
83,82,1,81,0,16401569.39,19776.37039,196,8,18,4,4,13,13-27,13027,13,27,25483.61378,112,HIGH SCHOOLS,13-27 Albert Einstein HS,137,1293292.75,500019.0938,13-27,Albert Einstein HS, 11135 Newport Mill Rd Kensington MD 20895,-77.06703602,39.03961589,Kensington MD 20895,11135 Newport Mill Rd,-77.06703602,25483.61378,19217457.9,39.03961589
84,83,1,82,0,9621731.272,14043.78265,190,8,16,1,3,4,17-Apr,4017,4,17,14043.78261,226,PRIVATE,04-17 B'nai Israel Congregation,185,1275755,505386.9993,17-Apr,B'nai Israel Congregation,6301 Montrose Rd Rockville MD 20852,-77.12880762,39.05430274,Rockville MD 20852,6301 Montrose Rd,-77.12880762,14043.78261,9621731.337,39.05430274
85,86,1,85,0,17698128.9,17343.13379,187,8,18,4,4,13,13-29,13029,13,29,17343.134,126,ELEMENTARY SCHOOLS,13-29 Highland ES,139,1294184,504209.3438,13-29,Highland ES, 3100 Medway St Silver Spring MD 20902,-77.06390853,39.0511227,Silver Spring MD 20902,3100 Medway St,-77.06390853,17343.134,17698128.8,39.0511227
86,87,1,86,0,24233798.03,28672.19715,186,8,18,4,4,13,13-44,13044,13,44,28672.19739,125,ELEMENTARY SCHOOLS,13-44 Arcola ES,150,1301193.51,502090.461,13-44,Arcola ES, 1820 Franwall Ave Silver Spring MD 20902,-77.03922302,39.04531582,Silver Spring MD 20902,1820 Franwall Ave,-77.03922302,28672.19739,24233798.13,39.04531582
87,88,1,87,0,21428377.69,21805.90301,185,8,16,1,3,4,13-Apr,4013,4,13,21805.90225,41,ELEMENTARY SCHOOLS,04-13 Farmland ES,189,1271074.375,502804.8751,13-Apr,Farmland ES, 7000 Old Gate Rd Rockville MD 20852,-77.14527557,39.0471938,ROCKVILLE MD 20852,7000 OLD GATE RD,-77.14527557,21805.90225,21428377.65,39.0471938
88,89,1,88,0,12695538.88,16222.8308,197,3,20,5,5,5,5-May,5005,5,5,57559.92517,222,ELEMENTARY SCHOOLS,05-05 Burnt Mills ES,40,1311783.735,499921.5812,5-May,Burnt Mills ES, 11211 Childs St Silver Spring MD 20901,-77.00193496,39.03936733,Silver Spring MD 20901,11211 Childs St,-77.00193496,57559.92517,55396438.17,39.03936733
89,90,1,89,0,21496453.39,20021.38315,183,6,16,1,3,4,Apr-32,4032,4,32,20021.38307,168,PRIVATE,04-32 Ivymount School,183,1266261.581,502494.0444,Apr-32,Ivymount School, 11614 Seven Locks Rd Potomac MD 20854,-77.16221976,39.0463181,POTOMAC MD 20854,11614 SEVEN LOCKS RD,-77.16221976,20021.38307,21496453.38,39.0463181
90,91,1,90,0,31750683.02,24750.2201,182,6,15,1,3,4,12-Apr,4012,4,12,24750.22007,50,HIGH SCHOOLS,04-12 Winston Churchill HS,19,1263162.125,501766.4687,12-Apr,Winston Churchill HS, 11300 Gainsborough Rd Potomac MD 20854,-77.17312814,39.04430479,Potomac MD 20854,11300 Gainsborough Rd,-77.17312814,24750.22007,31750682.66,39.04430479
91,92,1,91,0,5456206.977,11218.44698,180,8,16,3,3,4,28-Apr,4028,4,28,11218.447,167,PRIVATE,04-28 Bender JCC,26,1276861.84,505088.7865,28-Apr,Bender Jewish Community Center, 6125 Montrose Rd Rockville MD 20852,-77.12490855,39.05348817,Rockville MD 20852,6125 Montrose Rd,-77.12490855,11218.447,5456206.731,39.05348817
92,140,1,139,0,13226828.37,18067.67685,133,8,19,4,4,13,13-55,13055,13,55,18067.67653,145,ELEMENTARY SCHOOLS,13-55 Strathmore ES,231,1293759.625,516936.7499,13-55,Strathmore ES, 3200 Beaverwood Ln Silver Spring MD 20906,-77.06543499,39.08606697,SILVER SPRING MD 20906,3200 BEAVERWOOD LN,-77.06543499,18067.67653,13226828.43,39.08606697
93,141,1,140,0,21770108.73,21552.1837,132,8,15,3,2,4,24-Apr,4024,4,24,21552.18347,46,ELEMENTARY SCHOOLS,04-24 Lakewood ES,186,1257246.029,517675.9637,24-Apr,Lakewood ES, 2534 Lindley Ter Rockville MD 20850,-77.19407729,39.08795409,ROCKVILLE MD 20850,2534 LINDLEY TER,-77.19407729,21552.18347,21770108.95,39.08795409
94,142,1,141,0,43191640.77,32492.66196,131,8,14,5,5,5,8-May,5008,5,8,32492.66164,138,ELEMENTARY SCHOOLS,05-08 William T Page ES,42,1316991.875,512866.5,8-May,William T Page ES, 13400 Tamarack Rd Silver Spring MD 20904,-76.98359058,39.07490862,Silver Spring MD 20904,13400 Tamarack Rd,-76.98359058,32492.66164,43191640.8,39.07490862
95,143,1,142,0,54108655.22,40400.94392,130,8,19,4,4,13,13-02,13002,13,2,40400.94435,124,HIGH SCHOOLS,13-02 John F Kennedy HS,125,1301252.125,509532.875,13-02,John F Kennedy HS, 1901 Randolph Rd Silver Spring MD 20902,-77.03902784,39.06575027,Silver Spring MD 20902,1901 Randolph Rd,-77.03902784,40400.94435,54108655.37,39.06575027
96,145,1,144,0,58808681.81,41121.63981,128,8,14,4,5,5,9-May,5009,5,9,41121.64046,132,ELEMENTARY SCHOOLS,05-09 Westover ES,192,1307216.875,512850.4374,9-May,Westover ES, 401 Hawkesbury Ln Silver Spring MD 20904,-77.01802239,39.07486428,SILVER SPRING MD 20904,401 HAWKESBURY LN,-77.01802239,41121.64046,58808681.8,39.07486428
97,144,1,143,0,30834691.65,31050.62915,129,8,19,4,4,13,13-56,13056,13,56,31050.62912,140,MIDDLE SCHOOLS,13-56 Argyle MS,160,1298446.875,518191.9064,13-56,Argyle MS, 2400 Bel Pre Rd Silver Spring MD 20906,-77.04892423,39.08952125,Silver Spring MD 20906,2400 Bel Pre Rd,-77.04892423,31050.62912,30834691.72,39.08952125
98,146,1,145,0,15205908.46,16492.8115,127,3,14,5,5,5,21-May,5021,5,21,16492.81167,173,PRIVATE,05-21 East County Comm Rec Ctr,52,1328909.012,513785.9155,21-May,East County Community Rec Ctr, 3310 Gateshead Manor Way Silver Spring MD 20904,-76.94161115,39.07741961,Silver Spring MD 20904,3310 Gateshead Manor Way,-76.94161115,16492.81167,15205908.17,39.07741961
99,109,1,108,0,39985687.29,27750.87929,164,8,17,3,2,4,30-Apr,4030,4,30,27750.87972,227, ,04-30 St.Elizabeth School,29,1273711.324,505574.3219,30-Apr,St. Elizabeth Catholic School,917 Montrose Rd Rockville MD 20852,-77.13600524,39.05480893,Rockville MD 20852,917 Montrose Rd,-77.13600524,27750.87972,39985687.12,39.05480893
100,110,1,109,0,18905993.1,19287.30783,163,8,18,4,4,13,13-36,13036,13,36,19287.30729,142,ELEMENTARY SCHOOLS,13-36 Sargent Shriver ES,268,1289856.318,508010.618,13-36,Sargent Shriver ES, 12518 Greenly St Silver Spring MD 20906,-77.07915902,39.06155042,SILVER SPRING MD 20906,12518 GREENLY DR,-77.07915902,19287.30729,18905992.88,39.06155042
101,112,1,111,0,24842406,36234.50307,161,8,18,4,4,13,13-25,13025,13,25,36234.50323,144,ELEMENTARY SCHOOLS,13-25 Viers Mill ES,138,1288111.25,503260.0937,13-25,Viers Mill ES, 11711 Joseph Mill Rd Silver Spring MD 20906,-77.08528913,39.04850275,Silver Spring MD 20906,11711 Joseph Mill Rd,-77.08528913,36234.50323,24842405.99,39.04850275
102,119,1,118,0,19907179.61,20259.10516,154,8,20,5,5,5,11-May,5011,5,11,20259.10551,135,ELEMENTARY SCHOOLS,05-11 Cannon Road ES,43,1313987.75,510629.3438,11-May,Cannon Road ES, 901 Cannon Rd Silver Spring MD 20904,-76.99417292,39.06876716,Silver Spring MD 20904,901 Cannon Rd,-76.99417292,20259.10551,19907179.76,39.06876716
103,120,1,119,0,31328840.08,29239.00164,153,8,20,4,5,5,22-May,5022,5,22,29239.001,137,HIGH SCHOOLS,05-22 Springbrook HS,243,1310720,506635.6875,22-May,Springbrook HS, 201 Valley Brook Dr Silver Spring MD 20901,-77.0056815,39.05780194,SILVER SPRING MD 20904,201 VALLEY BROOK DR,-77.0056815,29239.001,31328839.9,39.05780194
104,124,1,123,0,13178157.2,15601.55753,149,6,19,4,4,13,13-37,13037,13,37,15601.55666,202,PRIVATE,13-37 St.John's Evangelical Lutheran Ch,144,1285647.12,513206.068,13-37,St. John's Evangelical Lutheran Church, 4629 Aspen Hill Rd Rockville MD 20853,-77.09400171,39.07580438,Rockville MD 20853,4629 Aspen Hill Rd,-77.09400171,15601.55666,13178157.28,39.07580438
105,125,1,124,0,19573170.03,19110.00336,148,8,19,4,4,13,13-35,13035,13,35,19110.00341,141,ELEMENTARY SCHOOLS,13-35 Weller Road ES,146,1293292,509423.3436,13-35,Weller Road ES, 3301 Weller Rd Silver Spring MD 20906,-77.06706298,39.06543684,Silver Spring MD 20906,3301 Weller Rd,-77.06706298,19110.00341,19573170.18,39.06543684
106,128,1,127,0,29077506.11,23349.75546,145,8,19,4,4,13,13-01,13001,13,1,23349.75513,146,ELEMENTARY SCHOOLS,13-01 Georgian Forest ES,124,1294886.875,513139.3749,13-01,Georgian Forest ES, 3100 Regina Dr Silver Spring MD 20906,-77.06145469,39.07564286,Silver Spring MD 20906,3100 Regina Dr,-77.06145469,23349.75513,29077505.8,39.07564286
107,129,1,128,0,9718211.642,16083.88055,144,8,15,3,3,4,29-Apr,4029,4,29,16083.88033,49,ELEMENTARY SCHOOLS,04-29 Cold Spring ES,27,1258704.09,507207.2233,29-Apr,Cold Spring ES, 9201 Falls Chapel Way Potomac MD 20854,-77.18886413,39.059219,Potomac MD 20854,9201 Falls Chapel Way,-77.18886413,16083.88033,9718211.39,39.059219
108,130,1,129,0,43391253.7,28758.12328,143,3,14,5,5,5,12-May,5012,5,12,28758.1229,136,ELEMENTARY SCHOOLS,05-12 Galway ES,45,1327577.875,508881.9687,12-May,Galway ES, 12612 Galway Dr Silver Spring MD 20904,-76.94631032,39.0639573,Silver Spring MD 20904,12612 Galway Dr,-76.94631032,28758.1229,43391253.56,39.0639573
109,131,1,130,0,25051643.45,31326.09184,142,8,17,3,2,4,5-Apr,4005,4,5,31326.09207,40,HIGH SCHOOLS,04-05 Richard Montgomery HS,14,1270676.417,514515.4514,5-Apr,Richard Montgomery HS, 250 Richard Montgomery Dr Rockville MD 20852,-77.14674308,39.07934529,Rockville MD 20852,250 Richard Montgomery Dr,-77.14674308,31326.09207,25051643.4,39.07934529
110,132,1,131,0,15776495.56,16401.86294,141,8,17,3,2,4,6-Apr,4006,4,6,16401.8634,155,CENTER,04-06 Lone Oak School Center,15,1274452.013,514847.8439,6-Apr,Lone Oak School Center, 1010 Grandin Ave Rockville MD 20851,-77.13344468,39.08027383,Rockville MD 20851,1010 Grandin Ave,-77.13344468,16401.8634,15776495.53,39.08027383
111,133,1,132,0,16492868.88,18893.85177,140,3,14,5,5,5,2-May,5002,5,2,18893.85153,131,ELEMENTARY SCHOOLS,05-02 Greencastle ES,39,1328867.5,514878.4686,2-May,Greencastle ES, 13611 Robey Rd Silver Spring MD 20904,-76.94175492,39.08041945,Silver Spring MD 20904,13611 Robey Rd,-76.94175492,18893.85153,16492868.88,39.08041945
112,134,1,133,0,25762061.57,24101.28189,139,8,17,3,2,4,2-Apr,4002,4,2,24101.28241,31,MIDDLE SCHOOLS,04-02 Julius West MS,13,1265814.455,513639.0075,2-Apr,Julius West MS, 651 Great Falls Rd Rockville MD 20850,-77.16386454,39.07691617,Rockville MD 20850,651 Great Falls Rd,-77.16386454,24101.28241,25762061.65,39.07691617
113,135,1,134,0,271733372.6,85711.02014,138,6,15,1,3,6,2-Jun,6002,6,2,85711.01986,175,PRIVATE,06-02 SS.Peter & Paul Orthodox Ch,196,1250043.518,494453.1235,2-Jun,SS. Peter and Paul Orthodox Church, 10620 River Rd Potomac MD 20854,-77.21925576,39.02414732,POTOMAC MD 20854,10620 RIVER RD,-77.21925576,85711.01986,271733372.8,39.02414732
114,136,1,135,0,23736535.86,24015.85497,137,8,17,3,2,4,21-Apr,4021,4,21,24015.85584,34,ELEMENTARY SCHOOLS,04-21 Fallsmead ES,24,1262217.375,514026.1251,21-Apr,Fallsmead ES, 1800 Greenplace Ter Rockville MD 20850,-77.176538,39.07796065,Rockville MD 20850,1800 Greenplace Ter,-77.176538,24015.85584,23736536.01,39.07796065
115,137,1,136,0,48209948.35,30723.5794,136,3,14,5,5,5,17-May,5017,5,17,30723.58044,157,CENTER,05-17 Fairland School Center,241,1324306.204,512832.9719,17-May,Fairland School Center, 13313 Old Columbia Pike Silver Spring MD 20904,-76.95782637,39.07481012,SILVER SPRING MD 20904,13313 OLD COLUMBIA PIKE,-76.95782637,30723.58044,48209948.32,39.07481012
116,138,1,137,0,16485126.1,21211.304,135,6,19,3,4,13,13-45,13045,13,45,21211.30432,44,MIDDLE SCHOOLS,13-45 Parkland MS,258,1286312.5,516245.6249,13-45,Parkland MS, 4610 W Frankfort Dr Rockville MD 20853,-77.09166867,39.08415179,Rockville MD 20853,4610 W Frankfort Dr,-77.09166867,21211.30432,16485125.97,39.08415179
117,165,1,164,0,58058228.5,41385.10637,108,8,17,3,2,4,16-Apr,4016,4,16,41385.10713,32,HIGH SCHOOLS,04-16 Thomas S Wootton HS,20,1260325.875,513527.7812,16-Apr,Thomas S Wootton HS, 2100 Wootton Pkwy Rockville MD 20850,-77.18319744,39.07658214,Rockville MD 20850,2100 Wootton Pkw,-77.18319744,41385.10713,58058228.21,39.07658214
118,166,1,165,0,49158885.24,33346.06775,107,3,14,5,5,5,23-May,5023,5,23,33346.06735,174,PRIVATE,05-23 Praisner Comm Rec Ctr,242,1328844.325,522670.6906,23-May,Marilyn J. Praisner Community Rec Center, 14906 Old Columbia Pike Burtonsville MD 20866,-76.94181907,39.10181415,BURTONSVILLE MD 20866,14906 OLD COLUMBIA PIKE,-76.94181907,33346.06735,49158885.21,39.10181415
119,167,1,166,0,7432147.421,15162.90728,106,8,19,3,5,13,13-69,13069,13,69,15162.907,209,PRIVATE,13-69 Leisure World Clubhouse II,263,1292843.984,525061.4168,13-69,Leisure World Clubhouse II, 3300 N Leisure World Blvd Silver Spring MD 20906,-77.06868232,39.10837253,SILVER SPRING MD 20906,3300 N LEISURE WORLD BLVD,-77.06868232,15162.907,7432147.547,39.10837253
120,171,1,170,0,43562883.44,35286.09637,102,6,19,3,5,8,3-Aug,8003,8,3,35286.09636,47,ELEMENTARY SCHOOLS,08-03 Flower Valley ES,78,1285928,524119.8125,3-Aug,Flower Valley ES, 4615 Sunflower Dr Rockville MD 20853,-77.0930515,39.10577041,Rockville MD 20853,4615 Sunflower Dr,-77.0930515,35286.09636,43562883.77,39.10577041
121,173,1,172,0,41330392.51,34581.34407,100,6,15,2,2,6,5-Jun,6005,6,5,34581.34476,95,HIGH SCHOOLS,06-05 Quince Orchard HS,198,1240198,527908.0625,5-Jun,Quince Orchard HS, 15800 Quince Orchard Rd Gaithersburg MD 20878,-77.25423909,39.1159327,GAITHERSBURG MD 20878,15800 QUINCE ORCHARD RD,-77.25423909,34581.34476,41330392.45,39.1159327
122,17,1,16,0,7270510.942,12895.75874,256,8,18,1,3,7,1-Jul,7001,7,1,12895.759,,HIGH SCHOOLS,07-01 Bethesda-Chevy Chase HS,,1287044,480798.1563,,Bethesda-Chevy Chase HS,"4301 East West Hwy, Bethesda, MD 20814",-77.08897,38.986826,"Bethesda, MD 20814",4301 East West Hwy,-77.08897,12895.759,7270510.884,38.986826
123,26,1,25,0,3558280.097,10699.29801,247,8,20,5,4,13,13-10,13010,13,10,10699.29798,,PRIVATE,13-10 Silver Spring Civic Building,,1305355.706,484672.3409,,Silver Spring Civic Building,"1 Veterans Pl, Silver Spring, MD 20910",-77.024552,38.997495,"Silver Spring, MD 20910",1 Veterans Pl,-77.024552,10699.29798,3558280.039,38.997495
124,32,1,31,0,21094271.83,21041.82851,241,8,16,1,3,7,8-Jul,7008,7,8,21041.82845,,HIGH SCHOOLS,07-08 Bethesda-Chevy Chase HS,,1287044,480798.1563,,Bethesda-Chevy Chase HS,"4301 East West Hwy, Bethesda, MD 20814",-77.08897,38.986826,"Bethesda, MD 20814",4301 East West Hwy,-77.08897,21041.82845,21094271.68,38.986826
125,33,1,32,0,10569454.52,16220.31057,240,8,20,5,4,13,13-05,13005,13,5,16220.31065,,PRIVATE,13-05 Silver Spring Civic Building,,1305355.706,484672.3409,,Silver Spring Civic Building,"1 Veterans Pl, Silver Spring, MD 20910",-77.024552,38.997495,"Silver Spring, MD 20910",1 Veterans Pl,-77.024552,16220.31065,10569454.62,38.997495
