OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
126,34,1,33,0,12614309.42,18533.01658,239,8,20,5,4,13,13-50,13050,13,50,18533.0163,,PRIVATE,13-50 Silver Spring Civic Building,,1305355.706,484672.3409,,Silver Spring Civic Building,"1 Veterans Pl, Silver Spring, MD 20910",-77.024552,38.997495,"Silver Spring, MD 20910",1 Veterans Pl,-77.024552,18533.0163,12614309.47,38.997495
127,72,1,71,0,15552047.93,15867.67382,201,8,16,1,3,4,10-Apr,4010,4,10,15867.6741,,MIDDLE SCHOOLS,04-10 Tilden MS,,1277704.75,499540.8126,,Tilden MS,"11211 Old Georgetown Rd, Rockville, MD 20852",-77.121914,39.038258,"Rockville, MD 20852",11211 Old Georgetown Rd,-77.121914,15867.6741,15552047.96,39.038258
128,93,1,92,0,31861158.7,32930.15172,181,8,18,1,3,4,8-Apr,4008,4,8,32930.15131,,ELEMENTARY SCHOOLS,04-08 Garrett Park ES,,1284875.68,497517.3054,,Garrett Park ES,"4810 Oxford St, Garrett Park, MD 20896",-77.096661,39.032726,"Garrett Park, MD 20896",4810 Oxford St,-77.096661,32930.15131,31861159.01,39.032726
129,96,1,95,0,3580033.389,8507.826701,177,8,16,3,2,4,11-Apr,4011,4,11,8507.826747,,ELEMENTARY SCHOOLS,04-11 Ritchie Park ES,,1262803.625,508625.4374,,Ritchie Park ES,"1514 Dunster Rd, Rockville, MD 20854",-77.174437,39.063135,"Rockville, MD 20854",1514 Dunster Rd,-77.174437,8507.826747,3580033.411,39.063135
130,102,1,101,0,431960.4535,4129.001276,171,8,17,3,3,4,Apr-37,4037,4,37,4129.000971,,ELEMENTARY SCHOOLS,04-37 Twinbrook ES,,1278236,510637.4688,,Twinbrook ES,"5911 Ridgway Ave, Rockville, MD 20851",-77.120095,39.068728,"Rockville, MD 20851",5911 Ridgway Ave,-77.120095,4129.000971,431960.4912,39.068728
131,107,1,106,0,85125114.98,49166.41961,166,6,15,1,3,10,1-Oct,10001,10,1,49166.41936,,PRIVATE,10-01 Potomac Methodist Parish Center,,1253830.951,495498.1502,,Potomac Methodist Parish Center,"9908 S Glen Rd, Potomac, MD 20854",-77.205933,39.027041,"Potomac, MD 20854",9908 S Glen Rd,-77.205933,49166.41936,85125114.99,39.027041
132,108,1,107,0,237136.5657,2180.013296,165,8,18,3,2,4,Apr-38,4038,4,38,2180.013263,,ELEMENTARY SCHOOLS,04-38 Twinbrook ES,,1278236,510637.4688,,Twinbrook ES,"5911 Ridgway Ave, Rockville, MD 20851",-77.120095,39.068728,"Rockville, MD 20851",5911 Ridgway Ave,-77.120095,2180.013263,237136.6891,39.068728
133,98,1,97,0,2149654.637,6723.805879,174,8,17,1,3,4,Apr-33,4033,4,33,6723.805441,,ELEMENTARY SCHOOLS,04-33 Garrett Park ES,,1284875.68,497517.3054,,Garrett Park ES,"4810 Oxford St, Garrett Park, MD 20896",-77.096661,39.032726,"Garrett Park, MD 20896",4810 Oxford St,-77.096661,6723.805441,2149654.636,39.032726
134,99,1,98,0,459005.0309,3678.774175,175,8,17,4,3,4,Apr-40,4040,4,40,3678.773797,,CENTER,04-40 Rocking Horse Road Center,,1284636.5,504437.6563,,Rocking Horse Road Center,"4910 Macon Rd, Rockville, MD 20852",-77.097529,39.051726,"Rockville, MD 20852",4910 Macon Rd,-77.097529,3678.773797,459004.9688,39.051726
135,100,1,99,0,13846714.05,23281.33268,173,8,18,4,3,4,15-Apr,4015,4,15,23281.33275,,CENTER,04-15 Rocking Horse Road Center,,1284636.5,504437.6563,,Rocking Horse Road Center,"4910 Macon Rd, Rockville, MD 20852",-77.097529,39.051726,"Rockville, MD 20852",4910 Macon Rd,-77.097529,23281.33275,13846714,39.051726
136,81,1,80,0,33557.77087,864.320218,192,0,0,0,0,0,OOC,OOC, , ,864.3202351,,,,,,,,,,,,,,,864.3202351,33557.7796,
137,84,1,83,0,54903584.17,36006.43535,189,8,16,1,3,4,18-Apr,4018,4,18,36006.43437,,MIDDLE SCHOOLS,04-18 Tilden MS,,1277704.75,499540.8126,,Tilden MS,"11211 Old Georgetown Rd, Rockville, MD 20852",-77.121914,39.038258,"Rockville, MD 20852",11211 Old Georgetown Rd,-77.121914,36006.43437,54903583.71,39.038258
138,85,1,84,0,20650609.43,24347.64399,188,8,18,4,4,4,26-Apr,4026,4,26,24347.64404,,CENTER,04-26 Rocking Horse Road Center,,1284636.5,504437.6563,,Rocking Horse Road Center,"4910 Macon Rd, Rockville, MD 20852",-77.097529,39.051726,"Rockville, MD 20852",4910 Macon Rd,-77.097529,24347.64404,20650609.22,39.051726
139,139,1,138,0,16363225.9,20096.3672,134,8,17,3,5,4,9-Apr,4009,4,9,20096.36619,,ELEMENTARY SCHOOLS,04-09 Meadow Hall ES,,1279290.75,516326.5938,,Meadow Hall ES,"951 Twinbrook Pkwy, Rockville, MD 20851",-77.116406,39.084352,"Rockville, MD 20851",951 Twinbrook Pkwy,-77.116406,20096.36619,16363225.84,39.084352
140,111,1,110,0,45108.81753,1206.811806,162,8,17,3,3,4,Apr-43,4043,4,43,1206.811826,,ELEMENTARY SCHOOLS,04-43 Meadow Hall ES,,1279290.75,516326.5938,,Meadow Hall ES,"951 Twinbrook Pkwy, Rockville, MD 20851",-77.116406,39.084352,"Rockville, MD 20851",951 Twinbrook Pkwy,-77.116406,1206.811826,45108.77788,39.084352
141,113,1,112,0,11743978.81,15664.477,160,6,15,3,3,4,23-Apr,4023,4,23,15664.47679,,PRIVATE,04-23 Potomac Methodist Parish Center,,1253830.951,495498.1502,,Potomac Methodist Parish Center,"9908 S Glen Rd, Potomac, MD 20854",-77.205933,39.027041,"Potomac, MD 20854",9908 S Glen Rd,-77.205933,15664.47679,11743978.7,39.027041
142,114,1,113,0,15548100.21,25400.27878,159,8,18,3,3,4,27-Apr,4027,4,27,25400.27946,,ELEMENTARY SCHOOLS,04-27 Twinbrook ES,,1278236,510637.4688,,Twinbrook ES,"5911 Ridgway Ave, Rockville, MD 20851",-77.120095,39.068728,"Rockville, MD 20851",5911 Ridgway Ave,-77.120095,25400.27946,15548100.32,39.068728
143,115,1,114,0,20424602.07,19199.82293,158,8,17,3,2,4,25-Apr,4025,4,25,19199.82362,,ELEMENTARY SCHOOLS,04-25 Ritchie Park ES,,1262803.625,508625.4374,,Ritchie Park ES,"1514 Dunster Rd, Rockville, MD 20854",-77.174437,39.063135,"Rockville, MD 20854",1514 Dunster Rd,-77.174437,19199.82362,20424602.22,39.063135
144,116,1,115,0,264481.2159,2366.024162,157,8,18,3,2,4,Apr-38,4038,4,38,2366.02402,,ELEMENTARY SCHOOLS,04-38 Twinbrook ES,,1278236,510637.4688,,Twinbrook ES,"5911 Ridgway Ave, Rockville, MD 20851",-77.120095,39.068728,"Rockville, MD 20851",5911 Ridgway Ave,-77.120095,2366.02402,264481.2563,39.068728
145,117,1,116,0,14799059.8,17426.07497,156,8,19,4,4,13,13-43,13043,13,43,17426.07504,,ELEMENTARY SCHOOLS,13-43 Wheaton Woods ES,,1286853.555,510540.2213,,Wheaton Woods ES,"4510 Faroe Pl, Rockville, MD 20853",-77.089743,39.068488,"Rockville, MD 20853",4510 Faroe Pl,-77.089743,17426.07504,14799059.76,39.068488
146,118,1,117,0,1348666.659,4878.645249,155,8,19,3,4,13,13-70,13070,13,70,4878.645294,,ELEMENTARY SCHOOLS,13-70 Wheaton Woods ES,,1286853.555,510540.2213,,Wheaton Woods ES,"4510 Faroe Pl, Rockville, MD 20853",-77.089743,39.068488,"Rockville, MD 20853",4510 Faroe Pl,-77.089743,4878.645294,1348666.642,39.068488
147,121,1,120,0,18704103.91,18564.29033,152,8,17,3,2,4,7-Apr,4007,4,7,18564.29063,,ELEMENTARY SCHOOLS,04-07 Twinbrook ES,,1278236,510637.4688,,Twinbrook ES,"5911 Ridgway Ave, Rockville, MD 20851",-77.120095,39.068728,"Rockville, MD 20851",5911 Ridgway Ave,-77.120095,18564.29063,18704103.84,39.068728
148,122,1,121,0,59955.58714,1032.2496,151,6,17,3,2,4,Apr-42,4042,4,42,1032.249703,,MIDDLE SCHOOLS,04-42 Robert Frost MS,,1259068.875,513300.4376,,Robert Frost MS,"9201 Scott Dr, Rockville, MD 20850",-77.187624,39.075951,"Rockville, MD 20850",9201 Scott Dr,-77.187624,1032.249703,59955.57711,39.075951
149,123,1,122,0,104578.4351,1325.832079,150,6,17,3,2,4,Apr-42,4042,4,42,1325.831925,,MIDDLE SCHOOLS,04-42 Robert Frost MS,,1259068.875,513300.4376,,Robert Frost MS,"9201 Scott Dr, Rockville, MD 20850",-77.187624,39.075951,"Rockville, MD 20850",9201 Scott Dr,-77.187624,1325.831925,104578.4399,39.075951
150,126,1,125,0,59620.25974,981.1907771,147,6,17,3,2,4,Apr-42,4042,4,42,981.1906379,,MIDDLE SCHOOLS,04-42 Robert Frost MS,,1259068.875,513300.4376,,Robert Frost MS,"9201 Scott Dr, Rockville, MD 20850",-77.187624,39.075951,"Rockville, MD 20850",9201 Scott Dr,-77.187624,981.1906379,59620.24825,39.075951
151,127,1,126,0,64874255.51,47245.95362,146,6,15,3,2,4,20-Apr,4020,4,20,47245.95405,,MIDDLE SCHOOLS,04-20 Robert Frost MS,,1259068.875,513300.4376,,Robert Frost MS,"9201 Scott Dr, Rockville, MD 20850",-77.187624,39.075951,"Rockville, MD 20850",9201 Scott Dr,-77.187624,47245.95405,64874255.73,39.075951
152,174,1,173,0,15273198.46,16471.83004,99,8,17,3,2,9,Sep-31,9031,9,31,16471.83019,87,ELEMENTARY SCHOOLS,09-31 Rosemont ES,105,1259778.625,531205.375,Sep-31,Rosemont ES, 16400 Alden Ave Gaithersburg MD 20877,-77.1852515,39.12511527,Gaithersburg MD 20877,16400 Alden Ave,-77.1852515,16471.83019,15273198.62,39.12511527
153,175,1,174,0,48170627.13,43571.39954,98,8,19,4,5,13,13-61,13061,13,61,43571.39906,139,HIGH SCHOOLS,13-61 James Hubert Blake HS,157,1307366.125,526860.3124,13-61,James Hubert Blake HS, 300 Norwood Rd Silver Spring MD 20905,-77.01750613,39.11333046,Silver Spring MD 20905,300 Norwood Rd,-77.01750613,43571.39906,48170627.01,39.11333046
154,177,1,176,0,16845784.46,19657.47541,96,6,17,3,2,9,Sep-40,9040,9,40,19657.47602,213,PRIVATE,09-40 Izaak Walton League,216,1250304.375,529607.0004,Sep-40,Izaak Walton League, 707 Conservation Ln Gaithersburg MD 20878,-77.21863392,39.1206692,GAITHERSBURG MD 20878,707 CONSERVATION LN,-77.21863392,19657.47602,16845784.43,39.1206692
155,179,1,178,0,28279743.83,23152.30378,94,6,17,3,2,9,Sep-35,9035,9,35,23152.30359,101,MIDDLE SCHOOLS,09-35 Lakelands Park MS,109,1246332.583,527692.0685,Sep-35,Lakelands Park MS, 1200 Main St Gaithersburg MD 20878,-77.23261607,39.11538458,Gaithersburg MD 20878,1200 Main St,-77.23261607,23152.30359,28279743.55,39.11538458
156,168,1,167,0,34668877.09,29624.78013,105,6,15,3,2,9,Sep-33,9033,9,33,29624.78044,88,ELEMENTARY SCHOOLS,09-33 Summit Hall ES,251,1256885,532000.7499,Sep-33,Summit Hall ES, 101 W Deer Park Rd Gaithersburg MD 20877,-77.19545728,39.12728249,GAITHERSBURG MD 20877,101 W DEER PARK RD,-77.19545728,29624.78044,34668877.27,39.12728249
157,169,1,168,0,30799928.81,35452.11829,104,8,17,3,2,4,14-Apr,4014,4,14,35452.1193,35,ELEMENTARY SCHOOLS,04-14 College Gardens ES,21,1266138.125,523097.5,14-Apr,College Gardens ES, 1700 Yale Pl Rockville MD 20850,-77.16278381,39.10288738,Rockville MD 20850,1700 Yale Pl,-77.16278381,35452.1193,30799928.84,39.10288738
158,170,1,169,0,70825399.8,39605.69876,103,3,14,5,5,5,19-May,5019,5,19,39605.69874,60,MIDDLE SCHOOLS,05-19 Benjamin Banneker MS,48,1326977,520583.3125,19-May,Benjamin Banneker MS, 14800 Perrywood Dr Burtonsville MD 20866,-76.94840325,39.09608605,Burtonsville MD 20866,14800 Perrywood Dr,-76.94840325,39605.69874,70825400.29,39.09608605
159,172,1,171,0,19627677.28,26883.27056,101,6,15,2,2,6,13-Jun,6013,6,13,26883.271,176,PRIVATE,06-13 Quince Orchard Library,199,1240767.786,527931.9774,13-Jun,Quince Orchard Library, 15831 Quince Orchard Rd Gaithersburg MD 20878,-77.25223113,39.1160027,GAITHERSBURG MD 20878,15831 QUINCE ORCHARD RD,-77.25223113,26883.271,19627677.38,39.1160027
160,182,1,181,0,83578083.6,42271.19963,91,8,14,4,5,5,16-May,5016,5,16,42271.19829,133,ELEMENTARY SCHOOLS,05-16 Stonegate ES,197,1307864.25,521840.0001,16-May,Stonegate ES, 14811 Notley Rd Silver Spring MD 20905,-77.01574752,39.09954677,SILVER SPRING MD 20905,14811 NOTLEY RD,-77.01574752,42271.19829,83578083.91,39.09954677
161,183,1,182,0,381680728.4,117447.2659,90,6,15,1,2,6,9-Jun,6009,6,9,117447.2648,94,ELEMENTARY SCHOOLS,06-09 Darnestown ES,53,1231526.5,523055.4062,9-Jun,Darnestown ES, 15030 Turkey Foot Rd Gaithersburg MD 20878,-77.28474802,39.10253886,Gaithersburg MD 20878,15030 Turkey Foot Rd,-77.28474802,117447.2648,381680728.7,39.10253886
162,147,1,146,0,29008552.81,31089.56046,126,6,19,3,5,13,13-51,13051,13,51,31089.55953,43,ELEMENTARY SCHOOLS,13-51 Rock Creek Valley ES,152,1283206.75,515906.4374,13-51,Rock Creek Valley ES, 5121 Russett Rd Rockville MD 20853,-77.10260855,39.08321143,Rockville MD 20853,5121 Russett Rd,-77.10260855,31089.55953,29008552.76,39.08321143
163,148,1,147,0,40723083.91,35536.01537,125,6,15,2,2,6,6-Jun,6006,6,6,35536.01602,223,ELEMENTARY SCHOOLS,06-06 Travilah ES,54,1241734.218,515754.0423,6-Jun,Travilah ES, 13801 Dufief Mill Rd North Potomac MD 20878,-77.24870805,39.0825739,North Potomac MD 20878,13801 DuFief Mill Rd,-77.24870805,35536.01602,40723083.94,39.0825739
164,149,1,148,0,9943645.448,14799.01484,124,8,19,4,5,13,13-64,13064,13,64,14799.0144,207,PRIVATE,13-64 St.Matthew Presbyterian Ch,235,1290045.778,519936.7321,13-64,St. Matthew Presbyterian Church, 4001 Bel Pre Rd Silver Spring MD 20906,-77.07852792,39.09429582,SILVER SPRING MD 20906,4001 BEL PRE RD,-77.07852792,14799.0144,9943645.646,39.09429582
165,150,1,149,0,9639527.832,15032.1395,123,6,15,3,2,4,Apr-35,4035,4,35,15032.13923,170,PRIVATE,04-35 Shady Grove Conf Ctr,188,1255284.79,520078.1829,Apr-35,Shady Grove Conference Center, 9630 Gudelsky Dr Rockville MD 20850,-77.20100552,39.09453806,ROCKVILLE MD 20850,9630 GUDELSKY DR,-77.20100552,15032.13923,9639527.989,39.09453806
166,152,1,151,0,17609063.1,18877.63097,121,8,19,4,4,13,13-49,13049,13,49,18877.63089,205,PRIVATE,13-Mid-County Comm Rec Ctr,234,1300109.301,517240.3036,13-49,Mid-County Community Rec Center, 2004 Queensguard Rd Silver Spring MD 20906,-77.04306565,39.08691079,SILVER SPRING MD 20906,2004 QUEENSGUARD RD,-77.04306565,18877.63089,17609062.81,39.08691079
167,153,1,152,0,9817427.065,15988.86174,120,8,15,3,2,6,14-Jun,6014,6,14,15988.86178,230,ELEMENTARY SCHOOLS,06-14 Stone Mill ES,57,1251463.375,519030.5312,14-Jun,Stone Mill Elementary School,14323 Stonebridge View Dr North Potomac MD 20878,-77.21446122,39.09163772,North Potomac MD 20878,14323 Stonebridge View Dr,-77.21446122,15988.86178,9817426.964,39.09163772
168,154,1,153,0,15111015.49,20540.83559,119,6,15,3,2,6,8-Jun,6008,6,8,20540.83568,98,ELEMENTARY SCHOOLS,06-08 Nancy H Dacek N Potomac Ctr,200,1246326.094,515946.3201,8-Jun,Nancy H.Dacek N. Potomac Community Rec Center, 13850 Travilah Rd Rockville MD 20850,-77.23253349,39.08313506,ROCKVILLE MD 20850,13850 TRAVILAH RD,-77.23253349,20540.83568,15111015.61,39.08313506
169,155,1,154,0,19691296.76,20489.72683,118,6,19,3,5,13,13-52,13052,13,52,20489.72718,42,MIDDLE SCHOOLS,13-52 Earle B. Wood MS,229,1281814.25,519580.5937,13-52,Earle B. Wood MS, 14615 Bauer Dr Rockville MD 20853,-77.10752936,39.09329496,ROCKVILLE MD 20853,14615 BAUER DR,-77.10752936,20489.72718,19691296.67,39.09329496
170,156,1,155,0,35209100.17,33868.67693,117,8,17,3,2,4,3-Apr,4003,4,3,33868.67722,154,CENTER,04-03 Carver Educational Services Center,170,1267477.73,520276.303,3-Apr,Carver Educational Services Center, 850 Hungerford Dr Rockville MD 20850,-77.15804608,39.09514787,ROCKVILLE MD 20850,850 HUNGERFORD DR,-77.15804608,33868.67722,35209100.08,39.09514787
171,159,1,158,0,11444403.78,19273.98858,111,8,19,3,5,13,13-71,13071,13,71,24568.63312,210,PRIVATE,13-71 Inter-Faith Chapel,264,1291435.694,521130.8929,13-71,Inter-Faith Chapel, 3680 S Leisure World Blvd Silver Spring MD 20906,-77.07363409,39.09757773,SILVER SPRING MD 20906,3680 N LEISURE WORLD BLVD,-77.07363409,24568.63312,7772219.871,39.09757773
172,160,1,159,0,66679066.84,42792.93507,113,8,17,3,5,4,1-Apr,4001,4,1,42792.93513,33,HIGH SCHOOLS,04-01 Rockville HS,12,1278660.15,517224.2801,1-Apr,Rockville HS,2100 Baltimore Rd Rockville MD 20851,-77.11863156,39.08681463,Rockville MD 20851,2100 Baltimore Rd,-77.11863156,42792.93513,66679066.58,39.08681463
173,161,1,160,0,26790005.43,26561.93404,112,6,15,2,2,6,4-Jun,6004,6,4,26561.93457,99,ELEMENTARY SCHOOLS,06-04 Dufief ES,50,1244924.75,522760.2498,4-Jun,Dufief ES, 15001 Dufief Dr Gaithersburg MD 20878,-77.23753265,39.10183371,Gaithersburg MD 20878,15001 Dufief Dr,-77.23753265,26561.93457,26790005.3,39.10183371
174,162,1,161,0,11444403.78,19273.98858,111,8,19,3,5,13,13-54,13054,13,54,19273.9886,206,PRIVATE,13-54 Leisure World Clubhouse I,260,1291495.835,522475.9488,13-54,Leisure World Clubhouse I, 3700 Rossmoor Blvd Silver Spring MD 20906,-77.07342599,39.1012709,SILVER SPRING MD 20906,3700 ROSSMOOR BLVD,-77.07342599,19273.9886,11444403.75,39.1012709
175,163,1,162,0,57201903.1,35225.53167,110,8,14,5,5,5,1-May,5001,5,1,35225.533,216,Elementary School,05-01 Dr.Charles Drew ES,38,1315891.001,518781.0009,1-May,Dr. Charles Drew ES, 1200 Swingingdale Dr Silver Spring MD 20905,-76.98746548,39.09114824,Silver Spring MD 20905,1200 Swingingdale Dr,-76.98746548,35225.533,57201903.13,39.09114824
176,164,1,163,0,24194835.83,24397.67379,109,6,19,3,5,13,13-46,13046,13,46,24397.67447,3,ELEMENTARY SCHOOLS,13-46 English Manor School,149,1286506.999,519046.9999,13-46,English Manor School,4511 Bestor Dr Rockville MD 20853,-77.09099331,39.09184391,Rockville MD 20853,4511 Bestor Dr,-77.09099331,24397.67447,24194835.82,39.09184391
177,209,1,208,0,16632901.76,25850.48493,64,6,17,3,1,9,20-Sep,9020,9,20,25850.48574,85,MIDDLE SCHOOLS,09-20 Gaithersburg MS,96,1259134.125,537999.1876,20-Sep,Gaithersburg MS, 2 Teachers Way Gaithersburg MD 20877,-77.18757251,39.14376481,Gaithersburg MD 20877,2 Teachers Way,-77.18757251,25850.48574,16632901.75,39.14376481
178,211,1,210,0,17697526.74,30077.71457,62,6,17,3,1,9,1-Sep,9001,9,1,30077.7156,89,ELEMENTARY SCHOOLS,09-01 Gaithersburg ES,246,1257863.75,537931.4374,1-Sep,Gaithersburg ES, 35 N Summit Ave Gaithersburg MD 20877,-77.19205115,39.14357154,GAITHERSBURG MD 20877,35 S SUMMIT AVE,-77.19205115,30077.7156,17697526.92,39.14357154
179,212,1,211,0,32212229.69,26397.99955,61,3,14,4,5,8,1-Aug,8001,8,1,26397.99926,231,ELEMENTARY SCHOOLS,08-01 Olney ES,210,1292948.256,539888.9526,1-Aug,Olney Elementary School,3401 Queen Mary Dr Olney MD 20832,-77.06835398,39.14908349,Olney MD 20832,3401 Queen Mary Dr,-77.06835398,26397.99926,32212229.02,39.14908349
180,213,1,212,0,35261458.58,26746.62087,60,6,17,3,2,9,24-Sep,9024,9,24,26746.62095,191,PRIVATE,09-24 St.Rose of Lima,215,1243756.678,540250.0691,24-Sep,St. Rose of Lima Parish, 11701 Clopper Rd Gaithersburg MD 20878,-77.2418119,39.14984553,GAITHERSBURG MD 20878,11701 CLOPPER RD,-77.2418119,26746.62095,35261458.77,39.14984553
181,214,1,213,0,67747891.38,44281.57448,59,6,39,2,2,6,7-Jun,6007,6,7,44281.57529,74,ELEMENTARY SCHOOLS,06-07 Spark M Matsunaga ES,51,1229317.5,540606.1249,7-Jun,Spark M Matsunaga ES, 13902 Bromfield Rd Germantown MD 20874,-77.29273039,39.15070705,Germantown MD 20874,13902 Bromfield Road,-77.29273039,44281.57529,67747890.92,39.15070705
182,215,1,214,0,15798209.22,18383.0601,58,3,14,4,5,8,11-Aug,8011,8,11,18383.05992,26,ELEMENTARY SCHOOLS,08-11 Brooke Grove ES,82,1297992.75,542712.125,11-Aug,Brooke Grove ES, 2700 Spartan Rd Olney MD 20832,-77.05057204,39.15684382,Olney MD 20832,2700 Spartan Rd,-77.05057204,18383.05992,15798209.29,39.15684382
183,216,1,215,0,1293324677,169268.806,57,6,15,1,1,3,2-Mar,3002,3,2,169268.8038,29,MIDDLE SCHOOLS,03-02 John Poole Middle School,11,1195781.125,531756.125,2-Mar,John Poole Middle School, 17014 Tom Fox Ave Poolesville MD 20837,-77.41084452,39.12605373,Poolesville MD 20837,17014 Tom Fox Ave,-77.41084452,169268.8038,1293324677,39.12605373
184,218,1,217,0,13875927.08,21891.82401,55,6,39,2,1,9,7-Sep,9007,9,7,21891.82514,90,ELEMENTARY SCHOOLS,09-07 South Lake ES,91,1256474.5,542394.1876,7-Sep,South Lake ES, 18201 Contour Rd Gaithersburg MD 20877,-77.19698336,39.15581633,Gaithersburg MD 20877,18201 Contour Rd,-77.19698336,21891.82514,13875927.07,39.15581633
185,180,1,179,0,20954971.95,26392.4098,93,6,17,3,2,9,6-Sep,9006,9,6,26392.40934,92,ELEMENTARY SCHOOLS,09-06 Fields Road ES,247,1251265.625,528922.1876,6-Sep,Fields Road ES, One School Dr Gaithersburg MD 20878,-77.21524012,39.11879524,GAITHERSBURG MD 20878,1 SCHOOL DR,-77.21524012,26392.40934,20954972.13,39.11879524
186,181,1,180,0,27123361.09,29912.19555,92,6,19,3,2,4,19-Apr,4019,4,19,29912.19648,215,ELEMENTARY SCHOOL,04-19 Candlewood ES,23,1270692.692,532522.5083,19-Apr,Candlewood ES, 7210 Osprey Dr Rockville MD 20855,-77.14678775,39.12878611,Rockville MD 20855,7210 Osprey Dr,-77.14678775,29912.19648,27123361.2,39.12878611
187,184,1,183,0,18783110.76,23284.2339,89,6,17,3,2,9,27-Sep,9027,9,27,23284.23364,91,ELEMENTARY SCHOOLS,09-27 Rachel Carson ES,168,1242242.875,528319.3125,27-Sep,Rachel Carson ES, 100 Tschiffely Square Rd Gaithersburg MD 20878,-77.24703593,39.11707725,Gaithersburg MD 20878,100 Tschiffely Square Rd,-77.24703593,23284.23364,18783110.8,39.11707725
188,185,1,184,0,123206847.4,53615.66899,88,3,14,5,5,5,15-May,5015,5,15,53615.66925,1,ELEMENTARY SCHOOLS,05-15 Cloverly ES,195,1313966.889,524795.0826,15-May,Cloverly Elementary School,800 Briggs Chaney Rd Silver Spring MD 20905,-76.99424325,39.10766126,Silver Spring MD 20905,800 Briggs Chaney Rd,-76.99424325,53615.66925,123206847.3,39.10766126
189,186,1,185,0,20031535.79,26567.11302,87,6,19,3,2,9,10-Sep,9010,9,10,26567.11365,82,ELEMENTARY SCHOOLS,09-10 Washington Grove ES,93,1261914.75,533886.6875,10-Sep,Washington Grove ES, 8712 Oakmont St Gaithersburg MD 20877,-77.17774023,39.13248878,Gaithersburg MD 20877,8712 Oakmont St,-77.17774023,26567.11365,20031535.91,39.13248878
190,187,1,186,0,24962245.63,25041.7479,86,6,17,3,2,9,13-Sep,9013,9,13,25041.74925,97,ELEMENTARY SCHOOLS,09-13 Diamond ES,94,1244563.75,535099.0626,13-Sep,Diamond ES, 4 Marquis Dr Gaithersburg MD 20878,-77.23891852,39.13570876,Gaithersburg MD 20878,4 Marquis Dr,-77.23891852,25041.74925,24962245.79,39.13570876
