OBJECTID_1,OBJECTID,JOIN_COUNT,TARGET_FID,ID,AREA,PERIMETER,PRECINCT_,CONGRESS,LEGIS,COUNCIL,BDED,ELECT,DASH_LABEL,DANDP,DISTRICT,PRECINCT,SHAPE_LENG,OBJECTID_12,FacType,Label,ObjectID_12_13,X,Y,District_P,Building_N,Location,x_lat,y_lat,city_state,street_add,POLL_X,SHAPE_Length,SHAPE_Area,POLL_Y
191,188,1,187,0,55374823.04,41125.19583,85,6,17,3,2,9,2-Sep,9002,9,2,41125.19619,86,HIGH SCHOOLS,09-02 Gaithersburg HS,88,1256885.125,534753.125,2-Sep,Gaithersburg HS, 101 Education Blvd Gaithersburg MD 20877,-77.19547762,39.13483945,Gaithersburg MD 20877,101 Education Blv,-77.19547762,41125.19619,55374822.43,39.13483945
192,191,1,190,0,126149121.6,67528.65313,82,6,19,3,5,4,Apr-34,4034,4,34,67528.6538,169,PRIVATE,04-34 Shady Grove Presbyterian,187,1270956.833,534288.7886,Apr-34,Shady Grove Presbyterian Church, 16911 Redland Rd Derwood MD 20855,-77.14586657,39.13363679,DERWOOD MD 20855,16911 REDLAND RD,-77.14586657,67528.6538,126149121.7,39.13363679
193,192,1,191,0,214906193.1,92275.64976,81,3,14,5,5,5,18-May,5018,5,18,92275.64946,59,ELEMENTARY SCHOOLS,05-18 Burtonsville ES,194,1330375.25,526153.4375,18-May,Burtonsville ES, 15516 Old Columbia Pike Burtonsville MD 20866,-76.93641589,39.1113737,BURTONSVILLE MD 20866,15516 OLD COLUMBIA PIKE,-76.93641589,92275.64946,214906192.6,39.1113737
194,193,1,192,0,191103235.7,65661.80612,80,6,15,2,2,6,1-Jun,6001,6,1,65661.80631,93,ELEMENTARY SCHOOLS,06-01 Jones Lane ES,190,1236941.472,523338.4965,1-Jun,Jones Lane ES, 15110 Jones Ln Gaithersburg MD 20878,-77.2656697,39.10336095,GAITHERSBURG MD 20878,15110 JONES LN,-77.2656697,65661.80631,191103235.4,39.10336095
195,194,1,193,0,35750276.69,26945.84237,79,3,14,4,5,8,9-Aug,8009,8,9,26945.84229,45,ELEMENTARY SCHOOLS,08-09 Cashell ES,81,1287963.154,535606.5293,9-Aug,Cashell ES, 17101 Cashell Rd Rockville MD 20853,-77.08591779,39.13731407,Rockville MD 20853,17101 Cashell Rd,-77.08591779,26945.84229,35750277.1,39.13731407
196,195,1,194,0,24520921.31,26932.47171,78,6,19,3,2,9,Sep-36,9036,9,36,26932.47174,84,MIDDLE SCHOOLS,09-36 Shady Grove MS,107,1266203,537763.5001,Sep-36,Shady Grove MS, 8100 Midcounty Hwy Gaithersburg MD 20877,-77.16264728,39.14315493,Gaithersburg MD 20877,8100 Midcounty Hwy,-77.16264728,26932.47174,24520921.25,39.14315493
197,196,1,195,0,30966500.1,28519.28244,77,6,19,3,2,9,14-Sep,9014,9,14,28519.2822,189,PRIVATE,09-14 Neighborhood Church (Derwood Alliance),212,1269192.842,531602.7524,14-Sep,Neighborhood  Church (Derwood Alliance), 16501 Redland Rd Rockville MD 20855,-77.15206947,39.12625407,ROCKVILLE MD 20855,16501 REDLAND RD,-77.15206947,28519.2822,30966500.14,39.12625407
198,198,1,197,0,47426393.59,32927.95584,75,6,17,3,2,9,16-Sep,9016,9,16,32927.95612,190,PRIVATE,09-16 WSSC Depot,248,1254297.949,536435.8933,16-Sep,WSSC Gaithersburg Depot, 111 W Diamond Ave Gaithersburg MD 20877,-77.20461174,39.1394441,GAITHERSBURG MD 20877,111 W DIAMOND AVE,-77.20461174,32927.95612,47426393.29,39.1394441
199,199,1,198,0,20484202.31,22289.26089,74,6,17,3,2,9,3-Sep,9003,9,3,22289.261,96,ELEMENTARY SCHOOLS,09-03 Brown Station ES,86,1246913.25,536230.9998,3-Sep,Brown Station ES, 851 Quince Orchard Blvd Gaithersburg MD 20878,-77.23064558,39.13883321,Gaithersburg MD 20878,851 Quince Orchard Blv,-77.23064558,22289.261,20484202.37,39.13883321
200,202,1,201,0,15487719.34,17843.56124,71,3,14,4,5,8,10-Aug,8010,8,10,17843.56141,188,MIDDLE SCHOOLS,08-10 William H. Farquhar MS,213,1299857.931,535269.9999,10-Aug,William H. Farquhar MS, 17017 Batchellors Forest Rd Olney MD 20832,-77.04398184,39.13641333,OLNEY MD 20832,17017 BATCHELLORS FOREST RD,-77.04398184,17843.56141,15487719.24,39.13641333
201,203,1,202,0,89285991.59,49432.79625,70,6,39,3,2,6,3-Jun,6003,6,3,49432.79753,100,MIDDLE SCHOOLS,06-03 Ridgeview MS,49,1241621.5,532174.1876,3-Jun,Ridgeview MS, 16600 Raven Rock Dr Gaithersburg MD 20878,-77.24926308,39.12765661,Gaithersburg MD 20878,16600 Raven Rock Dr,-77.24926308,49432.79753,89285991.86,39.12765661
202,204,1,203,0,12401277.05,18355.62734,69,6,17,3,1,9,28-Sep,9028,9,28,18355.62775,192,PRIVATE,09-28 Asbury 417 Comm Bldg,214,1255348.041,540404.0831,28-Sep,Asbury 417 Community Building, 417 Russell Ave Gaithersburg MD 20877,-77.2009403,39.15034557,GAITHERSBURG MD 20877,417 RUSSELL AVE,-77.2009403,18355.62775,12401277.18,39.15034557
203,206,1,205,0,21021794.96,19032.09171,67,6,19,4,1,9,4-Sep,9004,9,4,19032.09173,54,ELEMENTARY SCHOOLS,09-04 Mill Creek Towne ES,90,1268713.875,538949,4-Sep,Mill Creek Towne ES, 17700 Park Mill Dr Rockville MD 20855,-77.15380145,39.14642179,Rockville MD 20855,17700 Park Mill Dr,-77.15380145,19032.09173,21021794.99,39.14642179
204,207,1,206,0,24102594.52,24955.52035,66,6,39,2,2,6,10-Jun,6010,6,10,24955.52055,70,ELEMENTARY SCHOOLS,06-10 Great Seneca Creek ES,55,1235883.995,541212.5667,10-Jun,Great Seneca Creek ES, 13010 Dairymaid Dr Germantown MD 20874,-77.26958207,39.15242761,Germantown MD 20874,13010 Dairymaid Dr,-77.26958207,24955.52055,24102594.64,39.15242761
205,236,1,235,0,31455570.6,31261.19368,37,6,15,2,1,2,4-Feb,2004,2,4,31261.19296,69,ELEMENTARY SCHOOLS,02-04 Lake Seneca ES,101,1232069.208,552506.0001,4-Feb,Lake Seneca ES, 13600 Wanegarden Dr Germantown MD 20874,-77.28315753,39.18340292,Germantown MD 20874,13600 Wanegarden Dr,-77.28315753,31261.19296,31455570.25,39.18340292
206,237,1,236,0,23164917.51,20503.41184,36,6,39,2,1,9,9-Sep,9009,9,9,20503.41143,9,ELEMENTARY SCHOOL,09-09 Whetstone ES,249,1256561,548143.0001,9-Sep,Whetstone Elementary School,19201 Thomas Farm Rd Gaithersburg MD 20879,-77.19672201,39.17160071,Gaithersburg MD 20879,19201 Thomas Farm Rd,-77.19672201,20503.41143,23164917.72,39.17160071
207,238,1,237,0,72543991.96,66915.21281,35,3,14,4,5,8,2-Aug,8002,8,2,66915.21255,27,ELEMENTARY SCHOOLS,08-02 Greenwood ES,76,1293998.721,545822.1057,2-Aug,Greenwood ES, 3336 Gold Mine Rd Brookeville MD 20833,-77.06466474,39.16537565,Brookeville MD 20833,3336 Gold Mine Rd,-77.06466474,66915.21255,72543992.07,39.16537565
208,239,1,238,0,38588549.6,31206.54028,6,6,39,4,1,1,6-Jan,1006,1,6,32350.14885,163,PRIVATE,01-06 Laytonsville Golf Course,178,1271544.904,557405.1643,6-Jan,Laytonsville Golf Course, 7130 Dorsey Rd Laytonsville MD 20882,-77.1439219,39.19710743,GAITHERSBURG MD 20882,7130 DORSEY RD,-77.1439219,32350.14885,26290344.26,39.19710743
209,243,1,242,0,30431363.29,27369.08969,30,6,39,2,1,9,12-Sep,9012,9,12,27369.08932,105,HIGH SCHOOLS,09-12 Watkins Mill HS,95,1251152.625,552659.1875,12-Sep,Watkins Mill HS, 10301 Apple Ridge Rd Gaithersburg MD 20879,-77.2158362,39.1839667,Gaithersburg MD 20879,10301 Apple Ridge Rd,-77.2158362,27369.08932,30431363.06,39.1839667
210,244,1,243,0,16149408.32,21478.03546,29,6,15,2,1,2,5-Feb,2005,2,5,21478.03493,72,MIDDLE SCHOOLS,02-05 Martin Luther King MS,102,1231515.75,551600.7499,5-Feb,Dr Martin Luther King MS, 13737 Wisteria Dr Germantown MD 20874,-77.28510005,39.18091276,Germantown MD 20874,13737 Wisteria Dr,-77.28510005,21478.03493,16149408.29,39.18091276
211,245,1,244,0,42080020.1,48788.14196,28,6,39,2,1,9,30-Sep,9030,9,30,48788.1428,79,ELEMENTARY SCHOOLS,09-30 Capt James E Daly ES,103,1246452.625,554683.0625,30-Sep,Capt James E Daly ES, 20301 Brandermill Dr Germantown MD 20876,-77.2324352,39.18949171,Germantown MD 20876,20301 Brandermill Dr,-77.2324352,48788.1428,42080020.33,39.18949171
212,248,1,247,0,175450851.7,69932.84394,25,6,19,4,1,1,5-Jan,1005,1,5,69932.8445,162,PRIVATE,01-05 Agricultural History Farm Park,179,1274444.21,545507.7566,5-Jan,Agricultural History Farm Park, 18400 Muncaster Rd Derwood MD 20855,-77.13363027,39.16445426,DERWOOD MD 20855,18400 MUNCASTER RD,-77.13363027,69932.8445,175450852.3,39.16445426
213,249,1,248,0,153955441.7,59521.25765,24,3,14,4,5,8,5-Aug,8005,8,5,59521.2573,24,ELEMENTARY SCHOOLS,08-05 Belmont ES,80,1293396,550632.3749,5-Aug,Belmont ES, 19528 Olney Mill Rd Olney MD 20832,-77.0668029,39.17858147,Olney MD 20832,19528 Olney Mill Rd,-77.0668029,59521.2573,153955441.6,39.17858147
214,251,1,250,0,665095235.2,154826.2563,22,6,15,1,1,3,1-Mar,3001,3,1,154826.2566,28,ELEMENTARY SCHOOLS,03-01 Poolesville ES,9,1196785.375,538299.4374,1-Mar,Poolesville ES, 19565 Fisher Ave Poolesville MD 20837,-77.40740754,39.14403132,Poolesville MD 20837,19565 Fisher Ave,-77.40740754,154826.2566,665095235.8,39.14403132
215,252,1,251,0,128170237.7,58917.95398,21,6,14,2,1,1,2-Jan,1002,1,2,58917.95373,107,ELEMENTARY SCHOOLS,01-02 Goshen ES,1,1261349.625,556427.4374,2-Jan,Goshen ES, 8701 Warfield Rd Gaithersburg MD 20882,-77.17988904,39.19437337,Gaithersburg MD 20882,8701 Warfield Rd,-77.17988904,58917.95373,128170237.7,39.19437337
216,253,1,252,0,370739574.8,159716.7093,20,3,14,4,5,8,7-Aug,8007,8,7,159716.7095,57,ELEMENTARY SCHOOLS,08-07 Sherwood ES,83,1302941.625,540065.7502,7-Aug,Sherwood ES, 1401 Olney-Sandy Spring Rd Sandy Spring MD 20860,-77.03311646,39.14958416,Sandy Spring MD 20860,1401 Olney Sandy Spring Rd,-77.03311646,159716.7095,370739575.1,39.14958416
217,254,1,253,0,33850080.35,26432.87873,19,6,15,2,1,2,11-Feb,2011,2,11,26432.87818,214,ELEMENTARY SCHOOL,02-11 Wilson Wims ES,10,1238260.334,572405.2988,11-Feb,Wilson Wims ES, 12520 Blue Sky Dr Clarksburg MD 20871,-77.26151757,39.2380881,Clarksburg MD 20871,12520 Blue Sky Dr,-77.26151757,26432.87818,33850080.52,39.2380881
218,246,1,245,0,32869250.63,29833.28291,27,6,15,2,1,2,3-Feb,2003,2,3,29833.28299,73,ELEMENTARY SCHOOLS,02-03 Waters Landing ES,46,1236197.5,554389.4376,3-Feb,Waters Landing ES, 13100 Waters Landing Dr Germantown MD 20874,-77.26861329,39.18860827,Germantown MD 20874,13100 Waters Landing Dr,-77.26861329,29833.28299,32869251.04,39.18860827
219,247,1,246,0,42527657.64,31478.46167,26,6,39,2,1,9,25-Sep,9025,9,25,31478.46185,78,ELEMENTARY SCHOOLS,09-25 Dr Sally K Ride ES,100,1245071.25,560997.2499,25-Sep,Dr Sally K Ride ES, 21301 Seneca Crossing Dr Germantown MD 20876,-77.23736676,39.20681793,Germantown MD 20876,21301 Seneca Crossing Dr,-77.23736676,31478.46185,42527657.79,39.20681793
220,250,1,249,0,67293293.37,38504.46831,23,6,39,2,1,2,1-Feb,2001,2,1,38504.46855,63,MIDDLE SCHOOLS,02-01 Rocky Hill MS,47,1237688.59,566504.2723,1-Feb,Rocky Hill MS, 22401 Brick Haven Way Clarksburg MD 20871,-77.263476,39.22188211,Clarksburg MD 20871,22401 Brick Haven Way,-77.263476,38504.46855,67293293.35,39.22188211
221,240,1,239,0,34437103.52,30915.61397,33,6,39,2,1,9,18-Sep,9018,9,18,30915.61351,80,ELEMENTARY SCHOOLS,09-18 Fox Chapel ES,97,1243601.681,548372.1043,18-Sep,Fox Chapel ES, 19315 Archdale Rd Germantown MD 20876,-77.2424345,39.17214415,Germantown MD 20876,19315 Archdale Rd,-77.2424345,30915.61351,34437103.62,39.17214415
222,241,1,240,0,16441817.24,20811.18957,32,6,39,2,1,9,Sep-34,9034,9,34,20811.18985,81,MIDDLE SCHOOLS,09-34 Neelsville MS,106,1244154.25,556364.8751,Sep-34,Neelsville MS, 11700 Neelsville Church Rd Germantown MD 20876,-77.24055975,39.19409288,Germantown MD 20876,11700 Neelsville Church Rd,-77.24055975,20811.18985,16441817.14,39.19409288
223,242,1,241,0,26896283.26,29406.94501,31,6,39,2,1,1,3-Jan,1003,1,3,29406.94393,161,PRIVATE,01-03 Gaithersburg Ch of Nazarene,171,1260148.997,556736.3824,3-Jan,Gaithersburg Church of the Nazarene, 8921 Warfield Rd Gaithersburg MD 20882,-77.18412748,39.19521503,GAITHERSBURG MD 20882,8921 WARFIELD RD,-77.18412748,29406.94393,26896283.15,39.19521503
224,220,1,219,0,36446389.27,35737.19198,53,6,17,3,1,9,15-Sep,9015,9,15,35737.19093,111,ELEMENTARY SCHOOLS,09-15 Watkins Mill ES,252,1252502.25,546556.8751,15-Sep,Watkins Mill ES, 19001 Watkins Mill Rd Montgomery Village MD 20886,-77.21102519,39.16722099,MONTGOMERY VILLAGE MD 20886,19001 WATKINS MILL RD,-77.21102519,35737.19093,36446389.12,39.16722099
225,221,1,220,0,20591288.12,21021.61033,52,6,39,2,2,9,26-Sep,9026,9,26,21021.61042,68,ELEMENTARY SCHOOLS,09-26 Clopper Mill ES,166,1238127.75,543610.9999,26-Sep,Clopper Mill ES, 18501 Cinnamon Dr Germantown MD 20874,-77.26169424,39.15903065,Germantown MD 20874,18501 Cinnamon Dr,-77.26169424,21021.61042,20591288.2,39.15903065
226,222,1,221,0,15173542.26,19380.84654,51,6,39,2,1,9,21-Sep,9021,9,21,19380.84689,83,MIDDLE SCHOOLS,09-21 Forest Oak MS,98,1260022.5,541565.7501,21-Sep,Forest Oak MS, 651 Saybrooke Oaks Blvd Gaithersburg MD 20877,-77.18446565,39.15356213,Gaithersburg MD 20877,651 Saybrooke Oaks Blv,-77.18446565,19380.84689,15173542.26,39.15356213
227,224,1,223,0,18214840.99,21990.99859,49,6,39,2,1,9,29-Sep,9029,9,29,21990.99796,71,MIDDLE SCHOOLS,09-29 Roberto W Clemente MS,104,1242023,546074.0624,29-Sep,Roberto W Clemente MS, 18808 Waring Station Rd Germantown MD 20874,-77.24798087,39.16582305,Germantown MD 20874,18808 Waring Station Rd,-77.24798087,21990.99796,18214840.72,39.16582305
228,225,1,224,0,11793252.72,16995.27928,48,6,39,2,2,9,Sep-41,9041,9,41,16995.27933,217,Elementary School,09-41 Germantown ES,111,1233958.16,547553.9802,Sep-41,Germantown ES, 19110 Liberty Mill Rd Germantown MD 20874,-77.27644079,39.16982268,Germantown MD 20874,19110 Liberty Mill Road,-77.27644079,16995.27933,11793252.79,39.16982268
229,226,1,225,0,59925742.05,44592.04436,47,3,19,4,5,8,12-Aug,8012,8,12,44592.04299,25,FORMER,08-12 Rosa M Parks MS,85,1289314,548237.9374,12-Aug,Rosa M Parks MS, 19200 Olney Mill Rd Olney MD 20832,-77.08119495,39.17199826,Olney MD 20832,19200 Olney Mill Rd,-77.08119495,44592.04299,59925742.25,39.17199826
230,229,1,228,0,82277666.39,52032.32697,44,8,19,4,5,8,4-Aug,8004,8,4,52032.3252,56,ELEMENTARY SCHOOLS,08-04 Sequoyah ES,79,1278936.25,536334.5623,4-Aug,Sequoyah ES, 17301 Bowie Mill Rd Derwood MD 20855,-77.11774569,39.13928532,Derwood MD 20855,17301 Bowie Mill Rd,-77.11774569,52032.3252,82277666.34,39.13928532
231,227,1,226,0,22430483.4,28868.2947,46,6,39,2,1,9,5-Sep,9005,9,5,28868.29646,109,MIDDLE SCHOOLS,09-05 Montgomery Village MS,250,1252959.125,548482.3126,5-Sep,Montgomery Village MS, 19300 Watkins Mill Rd Montgomery Village MD 20886,-77.20942937,39.17251032,MONTGOMERY VILLAGE MD 20886,19300 WATKINS MILL RD,-77.20942937,28868.29646,22430483.78,39.17251032
232,228,1,227,0,28393232.54,23120.87056,45,6,15,2,2,2,2-Feb,2002,2,2,23120.87015,76,MIDDLE SCHOOLS,02-02 Kingsview MS,2,1231514.625,546227.7499,2-Feb,Kingsview MS, 18909 Kingsview Rd Germantown MD 20874,-77.28504483,39.16616078,Germantown MD 20874,18909 Kingsview Rd,-77.28504483,23120.87015,28393232.59,39.16616078
233,231,1,230,0,27399132.65,23799.49292,42,6,39,2,1,9,8-Sep,9008,9,8,23799.49199,75,HIGH SCHOOLS,09-08 Seneca Valley HS,92,1237396.75,549463.6251,8-Sep,Seneca Valley HS, 19401 Crystal Rock Dr Germantown MD 20874,-77.26433194,39.17509372,Germantown MD 20874,19401 Crystal Rock Dr,-77.26433194,23799.49199,27399132.45,39.17509372
234,233,1,232,0,38588549.6,31206.54028,40,6,39,4,1,1,4-Jan,1004,1,4,31206.5406,106,ELEMENTARY SCHOOLS,01-04 Judith A Resnik ES,5,1269250.125,551752.2499,4-Jan,Judith A Resnik ES, 7301 Hadley Farms Dr Gaithersburg MD 20879,-77.1519858,39.18157674,Gaithersburg MD 20879,7301 Hadley Farms Dr,-77.1519858,31206.5406,38588549.4,39.18157674
235,234,1,233,0,25586047.51,29465.1554,39,6,39,2,1,9,11-Sep,9011,9,11,29465.15589,110,ELEMENTARY SCHOOLS,09-11 Stedwick ES,254,1252460.875,549158.4999,11-Sep,Stedwick ES, 10631 Stedwick Rd Montgomery Village MD 20886,-77.21119234,39.1743637,MONTGOMERY VILLAGE MD 20886,10631 STEDWICK RD,-77.21119234,29465.15589,25586047.25,39.1743637
236,235,1,234,0,25506343.19,24441.36219,38,6,39,2,1,9,22-Sep,9022,9,22,24441.36232,104,ELEMENTARY SCHOOLS,09-22 Strawberry Knoll ES,99,1260634.556,546018.6597,22-Sep,Strawberry Knoll ES, 18820 Strawberry Knoll Rd Gaithersburg MD 20879,-77.18233871,39.16579138,Gaithersburg MD 20879,18820 Strawberry Knoll Rd,-77.18233871,24441.36232,25506342.95,39.16579138
237,255,1,254,0,10561879.37,13133.58416,18,6,15,2,1,2,10-Feb,2010,2,10,13133.58434,64,ELEMENTARY SCHOOLS,02-10 Little Bennett ES,8,1234304.48,575391.4822,10-Feb,Little Bennett ES, 23930 Burdette Forest Rd Clarksburg MD 20871,-77.27551561,39.24625479,Clarksburg MD 20871,23930 Burdette Forest Rd,-77.27551561,13133.58434,10561879.51,39.24625479
238,256,1,255,0,122177809.6,62129.65056,17,6,39,2,1,2,6-Feb,2006,2,6,62129.64992,61,MIDDLE SCHOOLS,02-06 Hallie Wells MS,3,1244455.45,570324.04,6-Feb,Hallie Wells MS, 11701 Little Seneca Pkwy Clarksburg MD 20871,-77.23962629,39.23242062,Clarksburg MD 20871,11701 Little Seneca Pkw,-77.23962629,62129.64992,122177809.2,39.23242062
239,260,1,259,0,112720414,55869.71544,13,8,14,2,1,12,3-Dec,12003,12,3,55869.7175,102,ELEMENTARY SCHOOLS,12-03 Woodfield ES,222,1256183.125,577712.3749,3-Dec,Woodfield ES, 24200 Woodfield Rd Gaithersburg MD 20882,-77.1982814,39.25278273,GAITHERSBURG MD 20882,24200 WOODFIELD RD,-77.1982814,55869.7175,112720413.8,39.25278273
240,261,1,260,0,1001983782,151478.0644,12,6,15,2,1,11,Nov-00,11000,11,0,151478.0643,30,ELEMENTARY SCHOOLS,11-00 Monocacy ES,119,1201042.375,567504.2499,Nov-00,Monocacy ES, 18801 Barnesville Rd Dickerson MD 20842,-77.3928412,39.22426591,Dickerson MD 20842,18801 Barnesville Rd,-77.3928412,151478.0643,1001983782,39.22426591
241,262,1,261,0,276761880.6,105526.6556,11,3,14,4,1,1,7-Jan,1007,1,7,105526.6568,164,PRIVATE,01-07 Damascus Library,181,1255526.965,590510.1171,7-Jan,Damascus Library, 9701 Main St Damascus MD 20872,-77.20069782,39.28791508,DAMASCUS MD 20872,9701 MAIN ST,-77.20069782,105526.6568,276761880.4,39.28791508
242,263,1,262,0,31829605.38,27963.31261,10,6,14,2,1,12,5-Dec,12005,12,5,27963.31287,67,HIGH SCHOOLS,12-05 Damascus HS,123,1252883.875,588542.1249,5-Dec,Damascus HS, 25921 Ridge Rd Damascus MD 20872,-77.21001987,39.28249565,Damascus MD 20872,25921 Ridge Rd,-77.21001987,27963.31287,31829605.86,39.28249565
243,265,1,264,0,619274113,152447.0296,8,6,15,2,1,2,8-Feb,2008,2,8,152447.029,62,HIGH SCHOOLS,02-08 Clarksburg HS,4,1236942.669,567957.191,8-Feb,Clarksburg HS, 22500 Wims Rd Clarksburg MD 20871,-77.26612383,39.22586522,Clarksburg MD 20871,22500 Wims Rd,-77.26612383,152447.029,619274112.7,39.22586522
244,270,1,269,0,245512549.7,92948.82182,3,8,14,2,1,12,1-Dec,12001,12,1,92948.82268,65,ELEMENTARY SCHOOLS,12-01 Damascus ES,122,1252589,589639.1252,1-Dec,Damascus ES, 10201 Bethesda Church Rd Damascus MD 20872,-77.21107055,39.28550559,Damascus MD 20872,10201 Bethesda Church Rd,-77.21107055,92948.82268,245512549.4,39.28550559
245,176,1,175,0,48170627.13,43571.39954,98,8,19,4,5,13,13-60,13060,13,60,4813.624466,,,,,,,,,,,,,,,4813.624466,638349.4011,
246,178,1,177,0,12910001.38,19987.31733,95,8,14,4,5,8,15-Aug,8015,8,15,19987.31811,,,,,,,,,,,,,,,19987.31811,12910001.29,
247,151,1,150,0,311648.1185,3317.628736,122,8,19,3,5,4,Apr-36,4036,4,36,3317.628652,,,,,,,,,,,,,,,3317.628652,311648.0563,
248,157,1,156,0,10453223.85,14937.37524,116,8,19,3,5,4,Apr-36,4036,4,36,14937.37546,,,,,,,,,,,,,,,14937.37546,10453223.84,
249,158,1,157,0,655925.2312,6585.471375,115,8,17,3,5,4,Apr-41,4041,4,41,6585.471332,,,,,,,,,,,,,,,6585.471332,655925.1093,
250,208,1,207,0,166959.5644,1855.327038,65,6,39,3,1,9,Sep-32,9032,9,32,1855.327648,,,,,,,,,,,,,,,1855.327648,166959.5881,
251,210,1,209,0,25199.91336,709.637469,63,6,39,3,1,9,Sep-32,9032,9,32,709.6375439,,,,,,,,,,,,,,,709.6375439,25199.9459,
252,217,1,216,0,261071577.7,99899.07681,56,3,14,4,5,8,6-Aug,8006,8,6,99899.07726,,,,,,,,,,,,,,,99899.07726,261071577.3,
253,189,1,188,0,1301902.161,5058.892107,84,6,17,3,2,6,16-Jun,6016,6,16,5058.892356,,,,,,,,,,,,,,,5058.892356,1301902.074,
254,190,1,189,0,7410872.726,14814.62364,83,6,39,3,2,9,Sep-38,9038,9,38,14814.62346,,,,,,,,,,,,,,,14814.62346,7410872.689,
255,197,1,196,0,3848070.165,10040.11703,76,6,39,3,1,9,Sep-32,9032,9,32,10040.11666,,,,,,,,,,,,,,,10040.11666,3848070.275,
256,200,1,199,0,112899239.5,53078.7339,73,8,19,4,5,8,8-Aug,8008,8,8,53078.73402,,,,,,,,,,,,,,,53078.73402,112899239.7,
257,201,1,200,0,264196.6048,2479.10487,72,6,17,4,1,9,Sep-39,9039,9,39,2479.105158,,,,,,,,,,,,,,,2479.105158,264196.6444,
258,205,1,204,0,2024613.089,8412.614403,68,6,39,3,1,9,Sep-32,9032,9,32,8412.614327,,,,,,,,,,,,,,,8412.614327,2024612.986,
259,219,1,218,0,13152824.96,21282.67068,54,6,39,4,1,9,Sep-37,9037,9,37,21282.67096,,,,,,,,,,,,,,,21282.67096,13152824.99,
260,223,1,222,0,46939796.12,32408.07901,50,6,15,2,2,6,15-Jun,6015,6,15,32408.07935,,,,,,,,,,,,,,,32408.07935,46939796.33,
261,230,1,229,0,127738639.9,64379.21165,43,6,15,2,1,6,11-Jun,6011,6,11,64379.21319,,,,,,,,,,,,,,,64379.21319,127738639.7,
262,232,1,231,0,7598359.74,12501.71182,41,8,14,4,5,8,14-Aug,8014,8,14,12501.7123,,,,,,,,,,,,,,,12501.7123,7598360.159,
263,257,1,256,0,128510503.4,61399.5954,16,6,14,2,1,12,4-Dec,12004,12,4,61399.59738,,,,,,,,,,,,,,,61399.59738,128510503.3,
264,258,1,257,0,438549480.8,102704.7829,15,8,14,4,1,1,1-Jan,1001,1,1,102704.7853,,,,,,,,,,,,,,,102704.7853,438549480.4,
265,259,1,258,0,65539922.58,37906.95044,14,6,14,2,1,2,9-Feb,2009,2,9,37906.95038,,,,,,,,,,,,,,,37906.95038,65539922.57,
266,264,1,263,0,61894688.12,40427.68154,9,8,14,4,1,1,1-Jan,1001,1,1,40427.6801,,,,,,,,,,,,,,,40427.6801,61894688.18,
267,266,1,265,0,19541219.23,17948.34153,7,8,15,2,1,2,7-Feb,2007,2,7,17948.34068,,,,,,,,,,,,,,,17948.34068,19541218.99,
268,267,1,266,0,258.6039545,65.89978275,6,0,0,0,0,0,OOC,OOC, , ,65.89986483,,,,,,,,,,,,,,,65.89986484,258.6007139,
269,268,1,267,0,21156.76033,814.2601859,5,0,0,0,0,0,OOC,OOC, , ,814.2597981,,,,,,,,,,,,,,,814.2597981,21156.74837,
270,269,1,268,0,4416.862719,401.2864663,4,0,0,0,0,0,OOC,OOC, , ,401.2865974,,,,,,,,,,,,,,,401.2865974,4416.85645,
271,271,1,270,0,379326703.4,112418.5517,2,8,14,2,1,12,2-Dec,12002,12,2,112418.5528,,,,,,,,,,,,,,,112418.5528,379326704,
